"Code","Stock","Prv Close","High","Low","Last","Vol","Status","P/E","EPS*","MACD (26, 12)","Vol MA (20)","DY*","Y-Low","Y-High","RSI (14)","Open","Sector","Chg","B%"
="53983Y","GAMUDA-C3Y","0.015","-","-","","0","Active","","","-0.015","1474805","","0.010","0.150","20%","","303","","-"
="53983Z","GAMUDA-C3Z","0.005","-","-","","0","Active","","","-0.003","576280","","0.005","0.070","40%","","303","","-"
="53984A","GAMUDA-C4A","0.005","-","-","","0","Active","","","-0.011","616855","","0.005","0.105","25%","","303","","-"
="53984B","GAMUDA-C4B","0.015","-","-","","0","Active","","","-0.013","107850","","0.015","0.090","12%","","303","","-"
="53984C","GAMUDA-C4C","0.005","-","-","","0","Active","","","","-","","0.005","0.075","0%","","303","","-"
="53984D","GAMUDA-C4D","0.010","0.015","0.005","0.015","71691","Active","","","-0.009","1391925","","0.005","0.150","25%","0.010","303","+0.005","72"
="53984E","GAMUDA-C4E","0.030","0.030","0.030","0.030","6000","Active","","","-0.014","902860","","0.030","0.185","37%","0.030","303","-","50"
="53984F","GAMUDA-C4F","0.025","-","-","","0","Active","","","-0.015","481410","","0.025","0.155","31%","","303","","-"
="53984G","GAMUDA-C4G","0.015","0.015","0.010","0.015","2312","Active","","","-0.008","992320","","0.010","0.135","29%","0.015","303","-","55"
="53984H","GAMUDA-C4H","0.050","0.045","0.040","0.045","20800","Active","","","","-","","0.045","0.090","0%","0.045","303","-0.005","48"
="53984I","GAMUDA-C4I","0.045","0.050","0.045","0.050","91548","Active","","","","5286050","","0.040","0.105","47%","0.045","303","+0.005","56"
="53984J","GAMUDA-C4J","0.030","0.035","0.030","0.035","20614","Active","","","","3816185","","0.030","0.095","42%","0.035","303","+0.005","68"
="53984K","GAMUDA-C4K","0.075","0.080","0.075","0.080","42277","Active","","","","-","","0.075","0.095","0%","0.075","303","+0.005","60"
="53984L","GAMUDA-C4L","0.070","0.065","0.065","0.065","10000","Active","","","","-","","0.065","0.070","0%","0.065","303","-0.005","55"
="53984M","GAMUDA-C4M","0.055","0.060","0.055","0.060","5800","Active","","","","-","","0.055","0.090","0%","0.055","303","+0.005","93"
="5398HD","GAMUDA-HD","0.245","0.240","0.235","0.240","3610","Active","","","0.014","1087630","","0.120","0.275","55%","0.235","303","-0.005","33"
="5398HE","GAMUDA-HE","0.110","0.110","0.105","0.105","35827","Active","","","","-","","0.095","0.120","0%","0.110","303","-0.005","17"
="5209","GASMSIA","4.820","5.050","4.840","5.010","24838","Active","16.85","29.73","0.079","1904340","2.89%","3.660","4.920","72%","4.840","165","+0.190","58"
="5209CY","GASMSIA-CY","0.070","0.105","0.090","0.100","1555","Active","","","","-","","0.030","0.070","0%","0.090","365","+0.030","68"
="9148","GBAY","0.600","-","-","","0","Active","135.97","0.45","-0.008","33190","","0.565","0.680","43%","","102","","-"
="5226","GBGAQRS","0.150","0.150","0.140","0.150","4514","Active","","-2.76","-0.003","462090","","0.145","0.235","50%","0.145","103","-","71"
="7676","GCAP","0.175","0.205","0.180","0.195","5597","Active","","-0.75","-0.001","191890","","0.155","0.295","44%","0.185","164","+0.020","92"
="5102","GCB","0.695","0.715","0.695","0.710","56588","Active","8.57","8.28","-0.007","4730240","2.11%","0.650","3.990","60%","0.695","101","+0.015","23"
="510222","GCB-C22","-","-","-","","0","Delisted","","","","-","","0.010","0.045","0%","","301","","-"
="510224","GCB-C24","0.005","-","-","","0","Active","","","-0.014","828305","","0.005","0.100","20%","","301","","-"
="510225","GCB-C25","-","-","-","","0","Delisted","","","-0.002","140710","","0.005","0.035","37%","","301","","-"
="510226","GCB-C26","-","-","-","","0","Delisted","","","","-","","0.010","0.065","0%","","301","","-"
="510227","GCB-C27","0.005","-","-","","0","Active","","","-0.003","265875","","0.010","0.050","44%","","301","","-"
="510228","GCB-C28","-","-","-","","0","Delisted","","","","186565","","0.005","0.040","48%","","301","","-"
="510229","GCB-C29","0.015","-","-","","0","Active","","","","-","","0.015","0.055","35%","","301","","-"
="510230","GCB-C30","0.005","-","-","","0","Active","","","-0.002","721855","","0.005","0.045","42%","","301","","-"
="510231","GCB-C31","0.015","0.015","0.015","0.015","14950","Active","","","-0.008","441210","","0.015","0.110","100%","0.015","301","-","6"
="510232","GCB-C32","0.010","-","-","","0","Active","","","-0.010","163550","","0.010","0.100","44%","","301","","-"
="510233","GCB-C33","0.025","-","-","","0","Active","","","","-","","0.025","0.070","0%","","301","","-"
="510234","GCB-C34","0.050","-","-","","0","Active","","","","-","","0.050","0.055","0%","","301","","-"
="510235","GCB-C35","0.035","-","-","","0","Active","","","","-","","0.035","0.060","0%","","301","","-"
="5102WC","GCB-WC","0.120","0.125","0.115","0.120","617","Active","","","-0.003","202035","","0.105","0.325","48%","0.115","101","-","12"
="5592","GCE","0.350","-","-","","0","Active","","-1.85","-0.006","9410","","0.280","0.490","48%","","101","","-"
